Clients,Download,DELETE,PUT update,POST insert ,GET 100000,GET 10000,Indekss
0,0,0,0,0,0,0,0
5,,,,,6.681,0.7014,2.037
10,8.104,1.055,0.4302,0.84,7.566,0.638,0.9984
15,9.32,2.0972,1.1544,0.45575,8.47225,2.017,0.8752
20,13.6654,2.534,3.0974,2.728167,12.68514,3.972167,3.194444
25,,4.2814,4.6425,5.43,12.16825,5.55625,5.759167
30,,5.733,6.579,6.139333,13.123,7.143833,5.4544
35,23.5068,8.0175,7.6736,6.992333,16.37657,7.9176,6.3335
40,24.508,7.095,8.447,8.723429,14.7675,8.279,7.9742
45,25.48267,4.804,6.633333,7.9228,12.792,9.2265,8.4405
50,29.441,10.77833,10.786,9.7455,16.68986,12.333,10.43713
55,32.2445,13.152,11.913,12.58233,19.501,14.10017,11.13783
60,35.35167,10.0125,9.769333,9.760667,16.9125,10.86829,10.09587
65,,13.117,10.592,14.474,16.9295,13.43625,12.0615
70,42.62,16.9075,16.61283,17.01967,24.32614,17.8916,17.06629
75,,15.647,15.9605,16.13933,26.17,17.32325,17.5018
80,54.02214,18.622,17.7952,19.619,26.45387,18.20333,18.618
85,,15.86733,16.3245,15.95689,25.928,17.40667,16.03092
90,75.154,16.413,16.2524,16.455,24.085,18.0514,18.511
95,68.52866,17.58333,19.0725,18.87067,25.10617,18.9489,
100,,20.43,20.7905,17.85914,24.82167,19.068,19.5417
105,,18.7045,17.57533,19.639,28.325,,21.287
110,,26.45067,25.82633,25.30867,32.27367,27.82,25.01271
115,,29.167,29.63775,29.877,33.08,30.52567,
120,,21.94275,21.80725,19.84875,36.8388,21.58156,23.65733
125,96.15836,14.4655,,15.1175,26.27967,17.397,13.8414
130,84.42433,21.427,20.06667,18.62375,24.9565,19.32545,
135,,30.155,29.5468,,33.779,31.14033,29.4606
140,,22.40475,23.8585,22.11563,35.341,26.397,22.25274
145,,23.33713,,23.70183,34.0427,,26.6368
150,,25.4916,,26.5132,30.9874,26.57133,26.4788
155,,36.27167,35.39872,,37.94575,33.78628,
160,,33.193,22.89525,22.57773,31.686,21.0737,24.54683
165,,23.25233,,,28.9105,,20.73233
170,,27.80367,,31.942,34.51,,
175,,37.852,,36.33667,42.05645,,39.7055
180,,44.31457,43.8264,43.477,45.28371,44.58833,42.793
185,,49.1488,50.3036,51.184,56.1124,50.03767,49.285
190,,24.745,23.6455,30.46643,58.2048,33.79512,37.12831
195,,25.53867,,22.516,31.2842,,26.2544
200,,23.10433,24.52633,24.5075,35.7796,24.8034,23.468
205,,32.0055,31.80858,28.94067,32.3524,30.7474,
210,300.0085,23.109,27.32086,27.1875,38.75,27.0135,30.1278
215,,23.3235,23.585,24.808,34.138,,20.883
220,300.0095,31.44614,,32.57233,36.091,,
225,,38.4477,,,40.72814,,39.0565
230,300.0078,40.051,38.82283,39.001,44.913,40.522,41.3362
235,300.003,44.3845,46.74525,,50.3806,46.84133,48.5615
240,,34.87088,30.8989,31.65945,54.287,30.358,31.95173
245,300.003,24.924,,26.275,31.86114,,25.7515
250,300.0078,24.24575,26.327,24.42438,31.38033,23.6534,22.8865
250,300.004,30.93367,32.0048,29.351,31.83367,32.206,
250,300.002,40.215,38.17667,,43.5635,41.414,
250,300.0032,31.737,31.61543,33.5287,45.87167,34.27677,34.1615
250,300.0079,32.47191,30.83233,31.744,38.9084,,
250,300.0042,40.25367,,42.105,43.14656,,40.0665
250,300.0013,43.0264,,41.7245,50.66533,,44.625
250,300.007,,47.5805,43.8464,50.97775,45.8208,42.49
250,300.007,53.2408,53.52675,,56.5485,53.09857,55.2375
250,300.0059,59.07667,58.8125,58.7975,63.50883,59.66233,56.854
250,300.0074,36.97314,42.49585,40.56239,65.74975,37.12333,45.68695
