Clients,Download,DELETE,PUT update,POST insert ,GET 100000,GET 10000,Indekss
0,0,0,0,0,0,0,0
5,,,,,4.775,0.6772,2.0734
10,,,1.1145,5.4202,8.57375,6.1972,0.262
15,,9.957,9.955,,8.084666,,0.251
20,,,,,,,7.558
25,,,,,,,8.1914
30,32.142,,,,,,7.146167
35,,43.473,43.488,,43.483,,0.378
40,,,,50.595,,,0.2796
45,,,,,,60.071,1.0738
50,30.306,63.916,,66.22733,,70.26167,0.4858333
55,,,,,,,
60,20.266,,,,,73.67,9.980572
65,,,,,,83.991,7.83
70,41.59,75.535,,75.541,,81.2865,4.310375
75,,,75.779,,,85.53,5.9246
80,,,,,,83.507,6.0878
85,30.349,,,,89.055,93.2714,5.184667
90,,,,,88.52267,88.62989,0.251
95,,,91.28067,,77.811,69.8225,0.2586
100,,,,,63.4515,64.0354,0.2194
105,,,,,71.08,,0.2638
110,,,,,80.25175,,0.2048
115,,,,,89.6955,,0.435
120,,92.522,102.284,,98.9705,92.523,0.625
125,,,,,,,8.481
130,,,,,,,9.1326
135,30.405,,,,,,7.275833
140,,,,,122.9017,120.068,0.4718
145,,,,117.406,118.2083,114.8815,0.7412
150,,,,122.981,123.6693,122.2222,0.2488
155,,,,128.6845,128.9227,,0.6642
160,,135.519,,,134.729,136.8266,0.2342
165,,140.625,,,,,
170,,,,155.45,,,17.508
175,,,,,,,19.75367
180,,,,,,,23.757
185,46.035,,,,,,27.35371
190,54.7545,,,,195.58,,13.17061
195,,,,198.94,200.9435,,2.2958
200,,,,208.4,207.8363,,0.2528
205,,,,,214.9258,218.5484,0.5198
210,,,,221.818,222.8503,,0.2528
215,,,,226.508,228.54,,0.3598
220,,200.254,,218.5097,235.182,220.8226,0.2712
225,,,,,,,8.5802
230,,,,,,,8.6272
235,30.386,,,,,,7.3095
240,,,,218.0405,219.6485,210.8399,0.3642
245,,,,214.362,212.8958,,0.6122
250,,,,218.853,219.2728,,0.2556
250,,,,224.579,225.8443,224.1764,
250,,,229.526,228.3425,232.2737,226.6394,
250,,,,,231.8358,,
250,,,229.267,226.132,226.482,226.774,
250,,,208.762,,226.517,194.8368,
250,,,164.7475,165.7563,,171.5853,
250,,,,152.743,155.742,,
250,,,150.0363,150.1648,152.137,152.4302,
250,,,152.656,,149.188,,
250,,,,,158.896,,
